game,player,hand,value,average face value,nil chance,misdeal,nil
52,north,DS AS 7S 5S 4S 9H 4H TC 3C 2C 9D 7D 4D,3,0.5,7.15,False,True
52,east,BS LS 8S 6S QH TH 8H 7H 3H JC JD 6D 5D,11,0.0,9.23,False,False
52,south,TS 9S 3S KH JH AC KC 9C 8C 7C 5C QD 3D,3,0.64,9.0,False,True
52,west,KS QS JS AH 6H 5H QC 6C 4C AD KD TD 8D,13,0.01,9.85,False,False
53,north,LS AS KS QS 5S 6H AC QC JC 2C KD 8D 4D,17,0.0,10.0,False,False
53,east,9S 3S AH JH TH 7H KC 7C 6C QD TD 6D 3D,5,0.8,8.54,False,True
53,south,BS JS TS 8S 7S 6S 4S 5H TC 8C 4C 3C 7D,6,0.0,7.69,False,False
53,west,DS KH QH 9H 8H 4H 3H 9C 5C AD JD 9D 5D,2,0.8,9.0,False,True
54,north,AS AH QH TH 8H 7H 4H 3H KC 9C 8C 8D 4D,5,0.56,8.77,False,True
54,east,LS DS KS TS 8S 5S 4S AC QC 5C KD 6D 3D,15,0.04,9.54,False,False
54,south,BS QS 7S 3S 6H 5H JC TC 7C 4C QD 9D 5D,9,0.0,8.31,False,False
54,west,JS 9S 6S KH JH 9H 6C 3C 2C AD JD TD 7D,5,0.8,8.62,False,True
55,north,8S 7S 6S 4S JH 7H AC KC TC 3C JD 9D 4D,4,0.6,8.23,False,True
55,east,BS LS KS AH 6H 5H QC JC KD QD TD 8D 5D,17,0.0,10.92,False,False
55,south,DS TS 5S KH 4H 3H 9C 8C 7C 6C 5C 7D 3D,3,0.96,7.31,False,True
55,west,AS QS JS 9S 3S QH TH 9H 8H 4C 2C AD 6D,9,0.02,8.77,False,False
56,north,LS DS AS QH TH 9H 6H 3H AC QC QD 5D 3D,13,0.11,10.08,False,False
56,east,9S 7S 3S AH JH 7H 5H 4H 9C 2C AD 9D 6D,4,0.8,7.69,False,True
56,south,BS 8S 6S KH 8H KC TC 8C 7C 3C TD 7D 4D,9,0.0,8.77,False,False
56,west,KS QS JS TS 5S 4S JC 6C 5C 4C KD JD 8D,7,0.0,8.69,False,False
57,north,BS LS JS 6S 5S 4H 3H AC KC KD JD 7D 4D,20,0.0,9.54,False,False
57,east,DS KS TS 4S QH 7H QC 8C 7C QD 6D 5D 3D,3,0.39,8.77,False,True
57,south,QS AH TH 9H 5H JC TC 9C 6C 4C AD TD 9D,6,0.7,9.46,False,True
57,west,AS 9S 8S 7S 3S KH JH 8H 6H 5C 3C 2C 8D,5,0.5,7.46,False,True
58,north,LS 9S 7S AH 6H 5H AC QC 9C 6C AD JD 5D,15,0.16,9.85,False,False
58,east,AS KS QS 3S TH JC 7C 9D 8D 7D 6D 4D 3D,7,0.01,8.23,False,False
58,south,BS DS JS TS 6S 8H TC 5C 4C 2C KD QD TD,10,0.0,9.46,False,False
58,west,8S 5S 4S KH QH JH 9H 7H 4H 3H KC 8C 3C,10,0.8,7.69,False,True
59,north,8S 7S 3S 9H 8H 7H QC 6C 4C 3C 8D 5D 4D,0,1,6.46,False,True
59,east,LS DS KS JS 6S 5S JH 4H AC JC 7C 5C JD,9,0.02,9.92,False,False
59,south,AS TS 9S AH KH TH 5H TC 9C 8C KD 9D 3D,10,0.34,9.77,False,False
59,west,BS QS 4S QH 6H 3H KC 2C AD QD TD 7D 6D,12,0.0,9.08,False,False
60,north,BS 9S 6S AH KH JH 5H 4H QC 8C 6C 3C QD,6,0.0,9.23,False,False
60,east,LS KS JS 5S TH 9H 6H TC 9C 7C 4C TD 5D,7,0.07,8.85,False,False
60,south,DS TS 7S 3S 7H KC JC 5C KD 7D 6D 4D 3D,3,0.6,8.0,False,True
60,west,AS QS 8S 4S QH 8H 3H AC 2C AD JD 9D 8D,12,0.12,9.15,False,False
61,north,TS 9S 3S KH JH 5H AC TC 9C 6C 2C 4D 3D,3,0.8,7.62,False,True
61,east,LS 8S 4S AH QH TH 9H 7H 6H 4H JC AD JD,9,0.21,9.69,False,False
61,south,KS QS 6S 5S 8H 3H KC 7C 5C 4C KD 8D 5D,9,0.18,7.85,False,False
61,west,BS DS AS JS 7S QC 8C 3C QD TD 9D 7D 6D,10,0.0,10.08,False,False
62,north,QS JS 7S 3S AH KH 8H 6H 4H JC 3C JD 4D,2,0.29,8.23,False,True
62,east,LS 9S JH 9H 7H 3H AC 6C 2C AD QD TD 7D,11,0.21,9.23,False,False
62,south,AS KS 8S 5S TH 5H QC 9C 7C KD 8D 6D 5D,8,0.03,8.85,False,False
62,west,BS DS TS 6S 4S QH KC TC 8C 5C 4C 9D 3D,6,0.0,8.92,False,False
63,north,JS TS 8S 3S KH AC KC JC 9C 3C 2C TD 5D,0,0.2,8.62,False,True
63,east,LS AS 7S 5S AH 9H 7H 6H QC 5C 4C AD JD,15,0.11,9.54,False,False
63,south,DS KS QS 9S 4S QH 8H 4H 3H 6C KD 9D 4D,7,0.18,8.62,False,False
63,west,BS 6S JH TH 5H TC 8C 7C QD 8D 7D 6D 3D,6,0.0,8.46,False,False
64,north,QS TS 8S 7S KH QH 3H AC JC 6C 3C 6D 3D,8,0.53,8.31,False,True
64,east,LS 3S AH JH 8H 7H 5H QC 2C AD 9D 7D 5D,7,0.21,8.69,False,False
64,south,DS AS KS JS 6S 5S 9H 9C 5C 4C QD JD TD,6,0.0,9.54,False,False
64,west,BS 9S 4S TH 6H 4H KC TC 8C 7C KD 8D 4D,11,0.0,8.69,False,False
65,north,BS QS TS 6S 5S QH 8H 4H QC 9C 9D 7D 5D,9,0.0,8.92,False,False
65,east,LS DS KS JS 7S 9H 6H JC TC 4C 3C TD 3D,7,0.07,9.08,False,False
65,south,9S 8S 4S 3S AH 7H AC 5C 2C AD KD JD 8D,12,0.6,8.62,False,False
65,west,AS KH JH TH 5H 3H KC 8C 7C 6C QD 6D 4D,4,0.7,8.62,False,True
66,north,QS 5S JH TH 7H 3H 8C 6C 5C 3C AD TD 9D,6,0.7,7.92,False,True
66,east,BS LS JS TS 9S 7S 6S KH 5H 4H QC 7C 5D,14,0.0,9.38,False,False
66,south,DS AS 4S 3S AH 9H 8H TC 2C QD 8D 4D 3D,7,0.42,8.15,False,True
