game,player,hand,value,average face value,nil chance,misdeal,nil
6,south,BS DS KS TS 6S 4S 3S 8H 6H QC 3C TD 7D,8,0.0,8.77,False,False
6,west,LS AS 9S 8S 7S 5S 4H JC TC 9C 2C QD 4D,8,0.05,8.54,False,False
7,north,DS 9S 6S 5S KH 4H JC TC 5C 2C AD KD TD,10,0.48,9.0,False,False
7,east,KS QS JS JH TH 8H 7H 6H KC QC 7C 9D 8D,8,0.01,9.77,False,False
7,south,AS TS 8S AH 5H 3H AC 6C 3C JD 7D 5D 4D,11,0.56,8.0,False,True
7,west,BS LS 7S 4S 3S QH 9H 9C 8C 4C QD 6D 3D,12,0.0,8.46,False,False
8,north,TS KH JH 7H 8C 4C KD QD JD 9D 8D 6D 5D,3,0.8,9.0,False,True
8,east,8S 7S 6S 5S AH TH 6H 5H 4H 7C 5C 2C 7D,0,0.72,6.62,False,True
8,south,LS DS AS KS QS 9S 3S 9H AC QC JC 6C 3D,14,0.0,10.54,False,False
8,west,BS JS 4S QH 8H 3H KC TC 9C 3C AD TD 4D,13,0.0,9.08,False,False
9,north,DS AS 8S 3S KH 9H 8H KC QC 4C JD 4D 3D,10,0.34,9.0,False,False
9,east,JS 6S 4S JH 5H 4H 9C 7C 6C 5C 3C KD 8D,3,0.96,7.08,False,True
9,south,KS QS 9S 7S AH QH TH 7H 6H TC AD TD 7D,8,0.11,10.08,False,False
9,west,BS LS TS 5S 3H AC JC 8C 2C QD 9D 6D 5D,13,0.0,9.08,False,False
10,north,BS DS AS QS 7S 8H 3H AC QC TC 9C AD TD,17,0.0,11.15,False,False
10,east,3S KH QH JH 4H KC 8C 7C 5C 4C 2C 7D 5D,3,1,7.23,False,True
10,south,LS JS 9S 8S 4S 7H 3C QD JD 9D 8D 6D 3D,5,0.2,8.23,False,False
10,west,KS TS 6S 5S AH TH 9H 6H 5H JC 6C KD 4D,5,0.49,8.62,False,True
11,north,KS 8S 6S QH 7H 5H 6C 5C 3C AD QD 9D 3D,5,0.65,7.92,False,True
11,east,BS 7S 5S JH 9H AC QC JC 8C 7C 4C 6D 4D,6,0.0,8.85,False,False
11,south,DS QS JS TS 9S 3S AH KH 4H 3H KD TD 8D,9,0.0,9.62,False,False
11,west,LS AS 4S TH 8H 6H KC TC 9C 2C JD 7D 5D,10,0.15,8.85,False,False
12,north,BS LS KS 9S 3S KH TH 9H 8C KD 8D 7D 6D,18,0.0,10.15,False,False
12,east,DS 6S AH QH 8H 7H 4H 3H AC 7C 5C TD 4D,4,0.8,8.38,False,True
12,south,AS QS JS TS JH KC QC JC 9C 3C 2C 9D 5D,5,0.01,9.38,False,False
12,west,8S 7S 5S 4S 6H 5H TC 6C 4C AD QD JD 3D,2,0.72,7.31,False,True
13,north,QS 9S 5S JH AC KC JC 4C QD 9D 7D 6D 4D,6,0.56,9.0,False,True
13,east,BS AS KS 8S 4S KH QH 5H QC 8C 2C KD 5D,19,0.0,9.69,False,False
13,south,DS JS TS 7S 6S 3S TH 4H TC 6C 5C 3C TD,0,0.2,7.69,False,True
13,west,LS AH 9H 8H 7H 6H 3H 9C 7C AD JD 8D 3D,5,0.26,8.85,False,True
14,north,BS LS JS 8S 7S 5S 7H 6H JC TC 3C QD 8D,11,0.0,9.31,False,False
14,east,QS TS 9S 3S QH JH 3H AC QC 9C KD JD 5D,11,0.42,9.54,False,False
14,south,DS 4S 5H 4H KC 7C 6C 5C AD TD 7D 6D 3D,2,0.8,7.62,False,True
14,west,AS KS 6S AH KH TH 9H 8H 8C 4C 2C 9D 4D,5,0.04,8.77,False,False
15,north,KS 8S 4S AH 9H AC KC JC TC 5C KD TD 7D,9,0.39,10.08,False,False
15,east,DS AS 3S QH TH 7H 6H 5H 3C 2C 5D 4D 3D,3,0.67,6.85,False,True
15,south,LS 9S 7S 4H QC 9C 8C 7C 6C QD JD 8D 6D,5,0.21,8.85,False,False
15,west,BS QS JS TS 6S 5S KH JH 8H 3H 4C AD 9D,14,0.0,9.46,False,False
16,north,BS KS QS TS 4S 7H 5H QC 9C 4C 8D 7D 4D,11,0.0,8.62,False,False
16,east,LS 8S 6S AH KH 8H 4H 6C 3C 2C JD 6D 3D,9,0.26,7.69,False,False
16,south,DS 5S 3S JH 6H 3H KC TC 7C AD KD TD 5D,7,0.64,8.85,False,True
16,west,AS JS 9S 7S QH TH 9H AC JC 8C 5C QD 9D,6,0.25,10.08,False,False
17,north,LS JS 5S AH 8H 6H AC KC 2C JD TD 8D 5D,16,0.21,9.46,False,False
17,east,BS AS 8S 6S 4S 7H 9C 8C 4C 3C KD 7D 4D,12,0.0,8.0,False,False
17,south,DS QS 9S JH 5H 4H 3H QC TC 7C 6C 9D 3D,2,0.7,8.15,False,True
17,west,KS TS 7S 3S KH QH TH 9H JC 5C AD QD 6D,9,0.39,9.62,False,False
18,north,BS KS JS 3S KC QC 6C 4C 3C TD 8D 7D 4D,8,0.0,8.54,False,False
18,east,7S 6S 5S AH QH 8H 7H TC 8C 5C 6D 5D 3D,2,0.96,7.38,False,True
18,south,DS AS QS TS 9S 8S JH 6H JC 7C AD KD QD,13,0.02,10.92,False,False
18,west,LS 4S KH TH 9H 5H 4H 3H AC 9C 2C JD 9D,9,0.26,8.38,False,False
19,north,AS JS 6S AH QH 9H 6H 5H TC 8C AD 9D 6D,7,0.45,9.54,False,True
19,east,BS 9S 5S 4S JH TH 8H 4H JC 7C QD 4D 3D,7,0.0,8.08,False,False
19,south,LS DS KS QS 7S KC QC 9C 6C KD JD TD 8D,13,0.02,11.15,False,False
19,west,TS 8S 3S KH 7H 3H AC 5C 4C 3C 2C 7D 5D,3,1,6.46,False,True
20,north,LS AS KS TS AH 9H 6H TC 7C 6C JD 9D 8D,14,0.01,10.23,False,False
20,east,JS 9S 7S 5S 3S 5H KC QC 5C 4C 2C AD 6D,4,0.72,7.38,False,True
20,south,QS 8S TH 8H 7H 4H JC 9C 8C 3C TD 5D 4D,2,0.7,7.62,False,True
20,west,BS DS 6S 4S KH QH JH 3H AC KD QD 7D 3D,14,0.0,10.0,False,False
21,north,8S KH JH AC KC TC 9C 3C 2C AD KD QD 7D,7,0.6,9.92,False,True
21,east,DS QS TS 6S 4S AH 8H 6H 4H JC 8C 8D 3D,4,0.53,8.38,False,True
21,south,9S 7S 5S QH TH 7H 3H 7C 5C 4C JD 6D 4D,0,0.96,6.92,False,True
21,west,BS LS AS KS JS 3S 9H 5H QC 6C TD 9D 5D,16,0.0,10.0,False,False
22,north,BS KS 8S 3S KH TH 4H 3H TC 6C QD 7D 6D,11,0.0,8.62,False,False
22,east,LS DS AS TS 9S 6S JH 8H 6H 2C AD TD 5D,12,0.04,9.69,False,False
22,south,7S 4S QH 9H 5H AC QC KD JD 9D 8D 4D 3D,5,0.8,8.54,False,True
22,west,QS JS 5S AH 7H KC JC 9C 8C 7C 5C 4C 3C,13,0.39,8.38,False,False
23,north,BS LS AS JS 4S 3S TH 6H 3H 3C KD QD 9D,18,0.0,9.31,False,False
23,east,DS 9S 7S 6S QH 5H 9C 8C 7C AD JD 4D 3D,2,0.6,8.46,False,True
23,south,KS QS 5S JH 8H 7H QC JC 6C 5C 4C 8D 6D,4,0.23,8.31,False,True
23,west,TS 8S AH KH 9H 4H AC KC TC 2C TD 7D 5D,8,0.64,9.15,False,True
24,north,KS TS 7H 5H 4H KC 9C 8C 4C JD 9D 6D 5D,4,0.65,8.0,False,True
24,east,DS JS 6S 4S KH TH 9H JC 5C AD KD TD 7D,7,0.36,9.85,False,True
24,south,LS AS QS 9S 8S 3S 6H AC 7C 3C 8D 4D 3D,14,0.02,8.23,False,False
24,west,BS 7S 5S AH QH JH 8H 3H QC TC 6C 2C QD,6,0.0,9.15,False,False
25,north,JS 9S 7S QH JH AC KC TC 8C 5C AD TD 7D,4,0.48,10.08,False,True
25,east,LS QS 8S 3S KH 9H 7H QC JC 7C 4C 8D 4D,10,0.14,8.77,False,False
25,south,BS 5S 4S AH TH 4H 9C 6C KD JD 9D 6D 5D,10,0.0,8.69,False,False
25,west,DS AS KS TS 6S 8H 6H 5H 3H 3C 2C QD 3D,5,0.04,7.69,False,False
26,north,QS 5S QH TH 7H 4H 3H TC 8C 3C AD 5D 3D,6,0.84,7.38,False,True
26,east,BS DS KS TS AH 5H AC KC 9C 4C TD 9D 6D,16,0.0,10.69,False,False
26,south,LS AS 9S 6S 3S 8H 6H QC 2C QD JD 8D 7D,8,0.11,8.77,False,False
26,west,JS 8S 7S 4S KH JH 9H JC 7C 6C 5C KD 4D,6,0.6,8.38,False,True
27,north,DS JS 8S 5S 4S AH KH 9H 6H 7C AD KD 5D,11,0.48,9.54,False,False
27,east,BS AS KS 3S JH 3H AC JC 8C 3C JD 8D 4D,13,0.0,9.23,False,False
27,south,LS 9S 7S 6S QH 8H 7H 5H 4H QC 6C 5C 7D,6,0.2,8.0,False,False
27,west,QS TS TH KC TC 9C 4C 2C QD TD 9D 6D 3D,2,0.7,8.46,False,True
28,north,LS AS JH TH 8H AC QC TC AD KD TD 8D 4D,13,0.07,11.08,False,False
28,east,BS 9S 8S 3S AH KH 3H JC 7C 3C 9D 5D 3D,13,0.0,8.08,False,False
28,south,QS JS 6S 4S 7H KC 9C 8C 6C 4C QD 7D 6D,3,0.29,8.08,False,True
28,west,DS KS TS 7S 5S QH 9H 6H 5H 4H 5C 2C JD,2,0.49,8.0,False,True
29,north,DS KS 8S 7S TH 8H QC 9C 6C 4C 5D 4D 3D,2,0.49,8.0,False,True
29,east,BS 6S KH QH 9H 4H 3H KC 7C 5C 3C 9D 6D,8,0.0,8.23,False,False
29,south,QS JS 5S AH JH 6H 5H AC TC 2C JD 8D 7D,8,0.31,8.92,False,False
29,west,LS AS TS 9S 4S 3S 7H JC 8C AD KD QD TD,12,0.03,10.08,False,False
30,north,KS JS 8S 7S 5S KH QH 3H 8C 3C JD 9D 7D,6,0.27,8.46,False,False
30,east,LS QS TS 6S 3S 9H 8H KC QC TC 9C 6C 2C,7,0.14,8.92,False,False
30,south,DS AS 4S 7H 6H AC JC 7C 5C 4C QD 6D 5D,4,0.56,8.46,False,True
30,west,BS 9S AH JH TH 5H 4H AD KD TD 8D 4D 3D,6,0.0,9.38,False,False
31,north,AS KS 4H 3H JC 8C 5C 4C KD QD 9D 8D 4D,5,0.05,8.31,False,False
31,east,JS 5S AH QH JH TH 7H 6H 5H TC 9C 3C 7D,1,0.8,8.46,False,True
31,south,LS 9S 8S 7S 6S KH 9H 8H AC KC 2C JD 6D,15,0.16,9.38,False,False
31,west,BS DS QS TS 4S 3S QC 7C 6C AD TD 5D 3D,11,0.0,9.08,False,False
32,north,QS 7S KH 9H 8H 7H 5H 3H AC JC 8D 6D 4D,6,0.7,8.23,False,True
32,east,BS 5S TH 6H 9C 4C 3C 2C KD TD 9D 7D 5D,6,0.0,7.69,False,False
32,south,LS DS AS KS 6S 4S 3S JH 4H QC TC 5C QD,11,0.0,9.62,False,False
32,west,JS TS 9S 8S AH QH KC 8C 7C 6C AD JD 3D,10,0.15,9.69,False,False
33,north,DS QS 7S QH JH 5H 4H AC 9C 8C 2C JD 9D,4,0.56,9.15,False,True
33,east,LS KS 8S 5S TH 7H 6H 3H QC JC AD QD 8D,12,0.13,9.62,False,False
33,south,BS TS 6S 4S KH 9H KC 6C 5C 3C 6D 5D 4D,11,0.0,7.77,False,False
33,west,AS JS 9S 3S AH 8H TC 7C 4C KD TD 7D 3D,9,0.34,8.69,False,False
34,north,DS QS JS JH 9H 4H 3H 8C 4C KD 7D 6D 5D,4,0.39,8.31,False,True
34,east,BS AS TS KH TH 7H 5H AC KC 7C 5C 2C 9D,11,0.0,9.69,False,False
34,south,KS 9S 8S 7S 5S QH 8H 6H JC QD TD 8D 3D,3,0.49,8.62,False,True
34,west,LS 6S 4S 3S AH QC TC 9C 6C 3C AD JD 4D,13,0.0,8.62,False,False
35,north,BS AS KS 4S JH 7H AC JC 8C QD JD 9D 8D,15,0.0,10.69,False,False
35,east,QS JS 8S 5S AH KH QH 6H 5H 3H 9C 2C 6D,2,0.29,8.15,False,True
35,south,DS 9S 8H 4H KC QC 7C 6C 4C AD TD 7D 5D,2,0.64,8.77,False,True
35,west,LS TS 7S 6S 3S TH 9H TC 5C 3C KD 4D 3D,8,0.2,7.62,False,False
36,north,BS TS 6S JH 4H 3H 8C 4C 3C KD TD 9D 5D,8,0.0,7.92,False,False
36,east,AS QS 9S TH 9H 5H TC 7C 6C 5C QD JD 4D,6,0.16,8.77,False,False
36,south,LS DS JS 7S 4S AH QH 8H AC KC QC 2C 3D,14,0.12,10.08,False,False
36,west,KS 8S 5S 3S KH 7H 6H JC 9C AD 8D 7D 6D,7,0.49,8.46,False,True
37,north,KS JS 4S JH 8H 6H QC TC 9C 8C JD 8D 3D,2,0.29,8.77,False,True
37,east,AS QS 7S KH 5H 4H JC 7C 4C 2C 9D 7D 4D,8,0.2,7.62,False,False
37,south,BS LS 9S 8S 6S 7H 3H KC 6C AD QD TD 5D,16,0.0,9.69,False,False
37,west,DS TS 5S 3S AH QH TH 9H AC 5C 3C KD 6D,9,0.48,9.15,False,True
38,north,DS JH 5H 3H KC 3C 2C JD TD 7D 6D 5D 3D,3,1,7.23,False,True
38,east,LS AS JS TS 9S 8S 6S 4S TH 9H 6H 9C 7C,8,0.0,9.15,False,False
38,south,KS QS 7S 3S KH 7H JC TC 6C 5C QD 9D 8D,8,0.14,8.92,False,False
38,west,BS 5S AH QH 8H 4H AC QC 8C 4C AD KD 4D,17,0.0,9.92,False,False
39,north,KS 5S 3S AH KH TH AC JC 6C AD KD TD 7D,17,0.39,10.23,False,False
39,east,BS LS JS 7S 4S QH JH 9H 7H 3C 2C 8D 5D,11,0.0,8.62,False,False
39,south,DS AS QS TS 9S 8H 4H KC TC 4C QD 6D 3D,9,0.12,9.23,False,False
39,west,8S 6S 6H 5H 3H QC 9C 8C 7C 5C JD 9D 4D,0,0.96,7.15,False,True
40,north,LS QS JS TH 9H 5H 3H 8C 4C 3C 9D 7D 6D,7,0.13,7.92,False,False
40,east,BS DS KS 3S 6H AC QC TC 5C QD TD 4D 3D,10,0.0,9.54,False,False
40,south,TS 9S 7S 5S 4S AH QH JH JC 9C 7C 2C AD,9,0.0,8.85,False,False
40,west,AS 8S 6S KH 8H 7H 4H KC 6C KD JD 8D 5D,10,0.45,8.92,False,False
41,north,QS 3S TH 6H 4H KC QC TC 2C AD KD 5D 4D,8,0.7,8.31,False,True
41,east,DS 8S 7S 5S KH 7H 3H 9C 7C JD TD 9D 6D,3,0.6,8.46,False,True
41,south,LS AS JS TS 9S 6S 4S QH AC 8C 5C 7D 3D,12,0.01,9.15,False,False
41,west,BS KS AH JH 9H 8H 5H JC 6C 4C 3C QD 8D,8,0.0,9.31,False,False
42,north,BS QS 7S QH 7H AC TC 8C 7C 4C JD 8D 4D,8,0.0,9.31,False,False
42,east,AS KS JS TS KH 9H 5H QC 9C 6C 3C 9D 7D,8,0.0,9.31,False,False
42,south,6S 4S TH 8H 6H 4H 3H KC AD KD QD TD 3D,0,0.26,8.15,False,True
42,west,LS DS 9S 8S 5S 3S AH JH JC 5C 2C 6D 5D,9,0.07,8.46,False,False
43,north,QS TS AH 3H 5C 3C KD JD 9D 8D 7D 5D 4D,6,0.7,8.0,False,True
43,east,DS KS 8S 6S 3S QH TH 5H AC 8C 2C TD 6D,7,0.49,8.62,False,True
43,south,7S 5S 9H 7H 6H KC QC JC TC 7C 6C 4C 3D,1,0.8,7.69,False,True
43,west,BS LS AS JS 9S 4S KH JH 8H 4H 9C AD QD,20,0.0,10.92,False,False
44,north,BS JS 9S 5S QH JH TH 9H 8H 7H 4C 9D 3D,6,0.0,8.85,False,False
44,east,TS 7S AH 6H 4H 3H AC KC QC TC 2C TD 8D,2,0.64,8.69,False,True
44,south,DS KS QS 4S KH JC 6C 5C 3C AD KD 6D 4D,8,0.05,9.15,False,False
44,west,LS AS 8S 6S 3S 5H 9C 8C 7C QD JD 7D 5D,8,0.14,8.54,False,False
45,north,KS TS 4S 3S QH 8H 6H 4H 3H AC QC 7C 7D,7,0.49,7.92,False,True
45,east,QS JS 9S 8S 7S AH JC TC 8C 6C 5C 3C 4D,6,0.0,8.31,False,False
45,south,BS DS 6S KH JH 7H 5H KC 2C QD JD TD 8D,11,0.0,10.0,False,False
45,west,LS AS 5S TH 9H 9C 4C AD KD 9D 6D 5D 3D,8,0.15,9.0,False,False
46,north,8S 6S 5S JH TH 8H 4H TC 7C 2C AD KD 5D,7,0.8,7.92,False,True
46,east,BS DS TS 9S KH 9H 5H QC 9C 6C JD 8D 3D,10,0.0,9.77,False,False
46,south,LS JS 3S AH QH 7H 3H AC 4C 3C TD 6D 4D,11,0.26,8.23,False,False
46,west,AS KS QS 7S 4S 6H KC JC 8C 5C QD 9D 7D,10,0.01,9.31,False,False
47,north,BS LS QS TS 8S 7S KH QH 4H 9C TD 8D 4D,17,0.0,10.0,False,False
47,east,AS AH TH 6H 6C 5C 4C 3C 2C 9D 6D 5D 3D,5,0.84,6.69,False,True
47,south,JS 9S 6S 5S 4S JH 8H 5H QC TC 7C KD JD,4,0.6,8.62,False,True
47,west,DS KS 3S 9H 7H 3H AC KC JC 8C AD QD 7D,11,0.39,9.92,False,False
48,north,LS JS TS 8S KH JH 9H 3H 8C 7C AD KD 3D,14,0.16,9.69,False,False
48,east,QS 7S 6S 4S 3S QH TH 7H 6H JC 7D 5D 4D,2,0.63,7.23,False,True
48,south,DS KS 5S 4H AC QC 9C 5C 4C 3C 2C QD TD,2,0.65,8.31,False,True
48,west,BS AS 9S AH 8H 5H KC TC 6C JD 9D 8D 6D,16,0.0,10.0,False,False
49,north,BS LS KS 6S 9H 6H 5H JC 9C 7C KD 9D 4D,16,0.0,9.62,False,False
49,east,JS TS 7S 5S KH 3H AC QC 3C AD JD 8D 7D,10,0.48,9.08,False,False
49,south,DS AS QS 3S AH QH JH TH 8H 7H TD 6D 5D,5,0.09,9.77,False,False
49,west,9S 8S 4S 4H KC TC 8C 6C 5C 4C 2C QD 3D,0,0.96,6.77,False,True
50,north,LS AS 5S 7H 6H QC TC 9C 5C 4C AD JD 9D,12,0.15,9.38,False,False
50,east,9S 7S 3S QH TH 9H 8H 4H 3H AC JC KD 7D,7,0.8,8.46,False,True
50,south,KS JS 6S KH JH KC 7C QD 8D 6D 5D 4D 3D,8,0.36,8.62,False,False
50,west,BS DS QS TS 8S 4S AH 5H 8C 6C 3C 2C TD,12,0.0,8.77,False,False
51,north,LS KS TS 7S JH 7H 5H 4H AC TC AD QD 8D,16,0.1,10.08,False,False
51,east,BS JS 4S 3S AH 8H JC 6C 2C KD 7D 6D 5D,12,0.0,8.23,False,False
51,south,AS QS 8S 5S KH 6H 3H KC QC 4C JD 9D 3D,12,0.12,8.69,False,False
51,west,DS 9S 6S QH TH 9H 9C 8C 7C 5C 3C TD 4D,1,0.8,8.23,False,True
52,north,BS LS 9S 6S 4S 3S QH JH 7H 4H 2C JD 3D,11,0.0,8.08,False,False
52,east,JS AH KH TH 9H 3H AC KC JC 6C KD 8D 5D,7,0.6,10.0,False,True
52,south,AS QS TS 8S 5H 9C 8C 7C AD TD 9D 7D 6D,5,0.12,9.15,False,False
52,west,DS KS 7S 5S 8H 6H QC TC 5C 4C 3C QD 4D,2,0.49,8.0,False,True
53,north,BS LS DS QS AH QH 8C 3C AD QD JD TD 3D,17,0.0,11.31,False,False
53,east,AS KS 5S 4S 3S TH 9H 8H 9C 5C 2C 9D 6D,5,0.04,7.46,False,False
53,south,9S 6S 7H AC KC QC TC 7C KD 8D 7D 5D 4D,0,0.64,8.85,False,True
53,west,JS TS 8S 7S KH JH 6H 5H 4H 3H JC 6C 4C,0,0.6,7.62,False,True
54,north,QS TS JH 7H 4H QC TC 8C 7C 6C 2C QD 8D,2,0.7,8.38,False,True
54,east,BS DS 9S 7S 5S 4S 3S KH 8H JC 5C 3C TD,9,0.0,8.46,False,False
54,south,LS JS 6S AH TH AC KC 9C 4C 9D 7D 5D 3D,13,0.21,9.31,False,False
54,west,AS KS 8S QH 9H 6H 5H 3H AD KD JD 6D 4D,5,0.04,9.08,False,False
55,north,AS TS 7S QH 9H 5H 3H AC 8C 5C TD 8D 7D,7,0.56,8.62,False,True
55,east,DS KS JS 8S 6S JH TH 7H TC 7C 6C KD 3D,5,0.21,9.23,False,False
55,south,LS QS 5S 3S AH 8H 4H 9C 4C AD 9D 6D 5D,13,0.17,8.38,False,False
55,west,BS 9S 4S KH 6H KC QC JC 3C 2C QD JD 4D,10,0.0,9.0,False,False
56,north,JS 8S 4S 3S 7H 6H AC TC 7C 6C 3C AD 8D,4,0.6,7.77,False,True
56,east,LS 7S 6S 5S QH TH 9H JC 8C 5C 6D 4D 3D,6,0.2,7.85,False,False
56,south,DS KS TS AH KH JH 8H 5H 4H 9C 4C 2C 9D,2,0.52,9.0,False,True
56,west,BS AS QS 9S 3H KC QC KD QD JD TD 7D 5D,14,0.0,10.62,False,False
57,north,LS DS KS JS TH 4H KC QC TC 8C 6C KD 5D,10,0.05,10.46,False,False
57,east,BS AS QS 5S AH KH 9H 5H 3H AC 7C 3C QD,15,0.0,9.85,False,False
57,south,TS 9S 7S 4S 3S JH 7H 5C 4C 2C AD 9D 4D,4,0.72,6.85,False,True
57,west,8S 6S QH 8H 6H JC 9C JD TD 8D 7D 6D 3D,1,0.8,8.08,False,True
58,north,LS KS JS 8S 5S 4S 7H 3H AC 8C 5C 3C 5D,9,0.03,7.85,False,False
58,east,DS AS 9S TH TC 6C AD KD QD JD 9D 7D 3D,3,0.34,10.23,False,True
58,south,BS 7S 6S 3S AH 9H 8H 5H KC JC 8D 6D 4D,11,0.0,8.54,False,False
58,west,QS TS KH QH JH 6H 4H QC 9C 7C 4C 2C TD,3,0.7,8.62,False,True
59,north,TS 7S 6S 3S AH KH QH JH 6H 8C 3C 9D 8D,0,0.6,8.46,False,True
59,east,DS KS 5S 8H 5H AC JC 5C 4C 2C AD JD 4D,6,0.65,8.54,False,True
59,south,BS 4S TH 7H 3H QC TC 9C QD TD 7D 6D 3D,7,0.0,8.46,False,False
59,west,LS AS QS JS 9S 8S 9H 4H KC 7C 6C KD 5D,16,0.0,9.77,False,False
60,north,AS KS 9S KH QH 9H 6H JC 3C KD QD 6D 5D,9,0.04,9.69,False,False
60,east,DS QS 4S 3S AH 8H AC KC AD TD 8D 4D 3D,13,0.42,9.38,False,False
60,south,BS JS TS 8S 7S 6S JH TH 3H 5C 4C JD 7D,6,0.0,8.46,False,False
60,west,LS 5S 7H 5H 4H QC TC 9C 8C 7C 6C 2C 9D,6,0.26,7.69,False,False
61,north,DS TS 8S 3S 7H 5H 4H AC JC 6C 2C 6D 5D,2,0.72,7.38,False,True
61,east,LS 9S 6S 4S 8H 3H QC 9C 7C 5C 3C JD 7D,5,0.2,7.69,False,False
61,south,BS KS QS 7S AH KH JH TH 9H 8C QD 4D 3D,11,0.0,10.23,False,False
61,west,AS JS 5S QH 6H KC TC 4C AD KD TD 9D 8D,6,0.34,9.92,False,True
62,north,BS 9S QH TH 9H JC 9C 4C KD 8D 7D 6D 3D,7,0.0,9.08,False,False
62,east,DS KS JS TS JH 8H 5H AC 8C 6C 2C QD 9D,4,0.21,9.54,False,True
62,south,LS QS 7S 6S 4S 3S 7H 6H QC TC 7C AD 5D,12,0.06,8.38,False,False
62,west,AS 8S 5S AH KH 4H 3H KC 5C 3C JD TD 4D,10,0.56,8.23,False,True
63,north,DS 9S 7S 3S AH JH AC QC 6C AD 8D 5D 4D,11,0.48,9.38,False,False
63,east,BS AS KS 5S 6H 5H 3H 8C 4C 3C KD JD 6D,14,0.0,8.31,False,False
63,south,LS 8S 6S 8H 7H 4H JC 9C 7C 5C 2C QD 7D,5,0.26,7.85,False,True
63,west,QS JS TS 4S KH QH TH 9H KC TC TD 9D 3D,7,0.05,9.69,False,False
64,north,BS LS DS 5S TH QC 7C 2C AD KD JD 7D 3D,12,0.0,10.15,False,False
64,east,AS 9S 8S AH QH 7H 6H 5H JC TC TD 8D 4D,3,0.45,9.08,False,True
64,south,6S 4S 3S 9H 8H AC 9C 5C 3C QD 9D 6D 5D,2,0.96,7.15,False,True
64,west,KS QS JS TS 7S KH JH 4H 3H KC 8C 6C 4C,8,0.0,8.85,False,False
65,north,LS QH JH 8H 3H KC JC 4C 3C TD 9D 8D 6D,5,0.26,8.77,False,True
65,east,AS 8S 5S KH 5H 4H TC 9C 6C 2C KD 7D 5D,9,0.56,7.77,False,True
65,south,BS KS JS 7S 3S 9H QC 8C 7C 5C AD JD 4D,12,0.0,9.31,False,False
65,west,DS QS TS 9S 6S 4S AH TH 7H 6H AC QD 3D,8,0.0,9.38,False,False
66,north,BS 8S 6S 5S 4S AH 4H JC TC 2C 7D 6D 3D,10,0.0,7.46,False,False
66,east,QS JS 9S 7S QH 5H 3H 8C 7C 4C 3C AD 8D,7,0.09,7.92,False,False
66,south,LS DS TS 3S KH 6H AC QC 9C JD TD 9D 5D,13,0.12,10.23,False,False
